jahr;bfs_nr_gemeinde;gemeinde_name;gebaeudehuelle;geak_sanierung;minergie_sanierung;minergie_neubau;holz_bis_70;holz_ab_70;waermepumpe;waermenetzanschluss;waermenetzprojekt;solarthermieanlage;solarstromanlage;batteriespeicher;energieeffizienz;komfortlueftung;elektrofahrzeug;ladeinfrastruktur;geak_plus;energieanalyse;wkk;biogasanlage;sonstige;total
2008;4946;Weinfelden;3;;1;6;3;;;2;;11;3;;;;;;8;;;;;37
2009;4946;Weinfelden;22;;2;19;1;;1;1;;14;2;;1;;;;11;;;;3;77
2010;4946;Weinfelden;41;;2;7;1;;2;;;12;4;;;;;;9;;;;;78
2011;4946;Weinfelden;48;;1;6;1;1;3;1;;8;8;;2;2;;;11;;;;;92
2012;4946;Weinfelden;42;5;2;12;2;;4;;;13;12;;4;2;;;7;;;;;105
2013;4946;Weinfelden;16;2;;15;;2;2;4;;9;16;;1;1;;;10;;1;;;79
2014;4946;Weinfelden;22;5;2;11;2;;1;;;9;9;;2;1;;;11;2;;;;77
2015;4946;Weinfelden;11;4;;2;1;;1;1;;6;2;1;4;;;;3;3;1;;;40
2016;4946;Weinfelden;13;1;1;2;;;9;;;3;;1;3;2;;;7;5;;;6;53
2017;4946;Weinfelden;24;2;4;5;;;1;;;;;;9;;;;19;1;;;6;71
2018;4946;Weinfelden;23;5;2;7;;;4;;;1;;1;11;;;;21;1;;;7;83
2019;4946;Weinfelden;15;3;1;1;;;8;;;;;6;3;;17;;10;2;;;1;67
2020;4946;Weinfelden;11;6;1;2;2;;11;;;2;;3;4;;26;;19;1;;;;88
2008;4951;Wigoltingen;3;;;;2;;;;;4;;;;;;;;;;;;9
2009;4951;Wigoltingen;3;;;;1;1;2;1;;7;1;;;;;;5;;;;;21
2010;4951;Wigoltingen;15;;;3;2;;1;;;3;2;;;;;;4;;;;;30
2011;4951;Wigoltingen;16;;;2;1;1;1;;;2;4;;;;;;1;;;;;28
2012;4951;Wigoltingen;4;;;;1;;2;4;;4;1;;;;;;2;;;;;18
2013;4951;Wigoltingen;2;;;1;1;;4;;;6;1;;;;;;1;;;;;16
2014;4951;Wigoltingen;2;;;1;;;;;;2;4;;;;;;1;;;;;10
2015;4951;Wigoltingen;4;1;;;1;;;;;2;1;1;;;;;2;;;;2;14
2016;4951;Wigoltingen;6;1;1;;1;;1;;;;;;1;;;;1;1;;;5;18
2017;4951;Wigoltingen;3;2;;;;;2;;;;;2;;;;;3;;;;4;16
2018;4951;Wigoltingen;2;;;;;1;3;;;;;7;;;;;3;;;;4;20
2019;4951;Wigoltingen;4;;;;1;;4;;;1;;7;;;4;1;4;;;;1;27
2020;4951;Wigoltingen;3;1;;;;;4;;;;;6;;;8;;5;;;;;27
2008;4786;Wilen (TG);1;;;;;;;;;5;1;;;;;;;;;;;7
2009;4786;Wilen (TG);6;;;;1;;1;;;10;;;;;;;;;;;;18
2010;4786;Wilen (TG);6;;;;;;;;;8;;;;;;;2;;;;;16
2011;4786;Wilen (TG);10;;;1;;;2;;;7;3;;;;;;;;;;;23
2012;4786;Wilen (TG);9;;;4;1;;;;;4;3;;;;;;1;1;;;;23
2013;4786;Wilen (TG);1;;;6;;;;;;3;4;;1;;;;;;;;;15
2014;4786;Wilen (TG);2;3;;6;1;;1;;;2;1;;;;;;1;;;;;17
2015;4786;Wilen (TG);4;;;;;;;;;;;;;;;;;;;;1;5
2016;4786;Wilen (TG);2;1;;1;;;2;;;;;;;;;;;;;;1;7
2017;4786;Wilen (TG);4;;;;;;;;;1;;1;1;;;;;;;;;7
2018;4786;Wilen (TG);2;1;;;;;;;;;;3;;;;;1;;;;3;10
2019;4786;Wilen (TG);2;;;;;;4;;;;;3;;;1;;1;;;;;11
2020;4786;Wilen (TG);1;;;;;;1;;;;;2;;;6;;3;;;;;13
2008;4791;Wuppenau;;;;;2;;;;;3;4;;;;;;1;;;;;10
2009;4791;Wuppenau;2;;1;1;1;;;;;1;5;;;;;;1;;;;;12
2010;4791;Wuppenau;5;;;;1;;;;;;5;;;;;;1;;;;;12
2011;4791;Wuppenau;5;1;;1;;;1;;;1;3;;;;;;;;;;;12
2012;4791;Wuppenau;9;1;;;;;1;;;1;4;;;;;;;;;;;16
2013;4791;Wuppenau;1;;;;1;1;1;2;;;3;;;;;;;;;;;9
2014;4791;Wuppenau;4;1;;;1;1;;;;1;3;;;;;;1;;;;;12
2015;4791;Wuppenau;;;;;;1;1;6;;;;;;;;;2;;;;2;12
2016;4791;Wuppenau;1;;;;2;1;3;1;;;;;1;1;;;;;;;1;11
2017;4791;Wuppenau;2;;;;;;1;;;;;7;;;;;1;;;;4;15
2018;4791;Wuppenau;2;;;;;;3;3;1;;;3;;;;;1;;;;1;14
2019;4791;Wuppenau;2;1;;;;;2;2;;;;3;;;;;1;;;;;11
2020;4791;Wuppenau;2;1;;1;;;3;1;;;;4;;;3;;3;;;;;18
2008;4511;Zihlschlacht-Sitterdorf;1;;;;1;;;;;4;;;;;;;;;;;1;7
2009;4511;Zihlschlacht-Sitterdorf;9;;;;3;;1;;;3;4;;;;;;2;;;;;22
2010;4511;Zihlschlacht-Sitterdorf;5;;;5;;;4;2;;3;2;;;;;;1;;;;;22
2011;4511;Zihlschlacht-Sitterdorf;8;;;1;2;;;;;7;2;;;;;;;;;;;20
2012;4511;Zihlschlacht-Sitterdorf;7;1;;2;;;5;;;;3;;;;;;5;;;;;23
2013;4511;Zihlschlacht-Sitterdorf;3;;;;1;;;2;;1;3;;;;;;;;;;;10
2014;4511;Zihlschlacht-Sitterdorf;5;;;1;;1;2;1;;1;2;;;;;;;1;;;;14
2015;4511;Zihlschlacht-Sitterdorf;3;;;;;1;;8;;2;;1;1;;;;;;;;;16
2016;4511;Zihlschlacht-Sitterdorf;1;2;2;;;;2;2;;;;;;;;;;;;;3;12
2017;4511;Zihlschlacht-Sitterdorf;3;;;2;1;;4;;;1;;3;;;;;2;1;;;3;20
2018;4511;Zihlschlacht-Sitterdorf;6;;;;;;3;;;;;6;4;;;;2;;;;2;23
2019;4511;Zihlschlacht-Sitterdorf;5;;;;;;5;;;;;3;;;;;3;;;;;16
2020;4511;Zihlschlacht-Sitterdorf;3;1;;;2;;5;;;;;4;;;4;;4;;;;;23
